id,timestamp,ph,turbidity,temperature,do_level
1,2023-01-01T00:00:00,6.85,97.6,13.1,191.48
2,2023-01-01T03:00:00,7.19,275.83,26.67,310.98
3,2023-01-01T06:00:00,8.44,156.1,23.61,233.48
4,2023-01-01T09:00:00,7.53,529.71,6.19,275.44
5,2023-01-01T12:00:00,6.91,376.16,7.17,299.91
6,2023-01-01T15:00:00,8.25,548.26,21.11,237.15
7,2023-01-01T18:00:00,6.94,250.44,7.5,296.64
8,2023-01-01T21:00:00,7.57,501.74,16.86,234.08
9,2023-01-02T00:00:00,7.4,627.48,7.44,310.83
10,2023-01-02T03:00:00,8.29,440.3,6.65,319.39
11,2023-01-02T06:00:00,8.49,661.56,21.05,170.57
12,2023-01-02T09:00:00,7.57,315.97,11.93,204.62
13,2023-01-02T12:00:00,6.63,528.81,29.83,174.21
14,2023-01-02T15:00:00,7.47,128.68,19.5,222.02
15,2023-01-02T18:00:00,7.79,163.46,13.88,299.06
16,2023-01-02T21:00:00,8.28,667.49,15.67,308.11
17,2023-01-03T00:00:00,8.47,231.11,20.93,179.86
18,2023-01-03T03:00:00,7.21,349.52,9.53,233.81
19,2023-01-03T06:00:00,8.12,627.3,24.68,165.71
20,2023-01-03T09:00:00,7.05,493.52,9.22,175.51
21,2023-01-03T12:00:00,8.22,590.94,22.81,238.83
22,2023-01-03T15:00:00,7.85,280.94,26.77,186.87
23,2023-01-03T18:00:00,7.13,549.9,15.6,308.57
24,2023-01-03T21:00:00,8.15,145.81,29.4,164.74
25,2023-01-04T00:00:00,7.17,273.57,15.05,277.91
26,2023-01-04T03:00:00,6.51,126.8,28.73,256.83
27,2023-01-04T06:00:00,7.56,127.81,29.57,170.98
28,2023-01-04T09:00:00,7.08,543.99,9.52,316.37
29,2023-01-04T12:00:00,8.49,80.64,27.8,171.44
30,2023-01-04T15:00:00,6.79,644.64,20.57,238.43
31,2023-01-04T18:00:00,8.26,575.08,28.65,310.29
32,2023-01-04T21:00:00,8.39,113.64,20.89,159.26
33,2023-01-05T00:00:00,7.23,55.61,6.04,316.89
34,2023-01-05T03:00:00,7.0,177.02,21.55,196.99
35,2023-01-05T06:00:00,8.04,310.1,9.69,154.86
36,2023-01-05T09:00:00,8.04,67.88,19.13,313.75
37,2023-01-05T12:00:00,7.22,268.83,6.22,168.23
38,2023-01-05T15:00:00,6.7,592.4,8.47,171.21
39,2023-01-05T18:00:00,7.27,62.59,15.98,272.08
40,2023-01-05T21:00:00,8.07,327.49,21.38,199.31
